content_id,Name,Year,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
332,Knives Out 2,2022,NULL,NULL,Comedy.Crime.Drama,NULL,Film,NULL,1,No Rate,No Rate,No Rate,No Rate,No Rate
333,Scary Movie,2000,6.2,243587,Comedy,88,Film,R,1,Severe,Severe,Severe,Moderate,Moderate
334,South Park,2000,8.7,345100,Animation.Comedy,22,Series,TV-MA,311,Severe,Severe,Severe,Severe,Moderate
335,Turner & Hooch,2000,6.6,2625,Comedy.Drama.Family,NULL,Series,TV-PG,12,Mild,Mild,None,None,Moderate
336,Mortal Kombat,2021,6.1,145124,Action.Adventure.Fantasy,110,Film,R,1,None,Severe,Severe,Mild,Severe
337,Ghostbusters,1984,7.8,374701,Action.Comedy.Fantasy,105,Film,PG,1,Mild,Mild,Moderate,Mild,Mild
338,Locke & Key,1984,7.4,51137,Drama.Fantasy.Horror,48,Series,TV-14,24,Mild,Moderate,Mild,Mild,Mild
339,The Sinner,1984,7.9,99632,Crime.Drama.Mystery,45,Series,TV-MA,29,Moderate,Moderate,Moderate,Moderate,Severe
340,Fight Club,1999,8.8,1948261,Drama,139,Film,R,1,Moderate,Severe,Severe,Moderate,Severe
341,Rakka,2017,7.4,7037,Short.Horror.Sci-Fi,22,Film,Not Rated,1,No Rate,Severe,Moderate,Mild,No Rate
342,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1736338,Action.Adventure.Drama,178,Film,PG-13,1,None,Moderate,None,Mild,Moderate
343,Help,2021,8,4320,Drama,98,Film,NULL,1,No Rate,No Rate,No Rate,No Rate,No Rate
344,Mean Girls,2004,7,356752,Comedy,97,Film,PG-13,1,Moderate,Mild,Moderate,Mild,Mild
345,Daredevil,2004,8.6,382011,Action.Crime.Drama,54,Series,TV-MA,39,Mild,Severe,Moderate,Mild,Severe
346,The Shining,1980,8.4,946683,Drama.Horror,146,Film,R,1,Moderate,Severe,Moderate,Mild,Severe
347,Star Trek: Deep Space Nine,1980,8,57362,Action.Adventure.Drama,45,Series,TV-PG,173,Mild,Moderate,Mild,Mild,Moderate
348,Dr.No,1962,7.2,157817,Action.Adventure.Thriller,110,Film,PG,1,Mild,Mild,Mild,Mild,Mild
349,Hawaii Five-0,1962,7.3,69783,Action.Crime.Drama,42,Series,TV-14,240,Mild,Moderate,None,Mild,Moderate
350,Arrow,1962,7.5,418232,Action.Adventure.Crime,42,Series,TV-14,170,Mild,Moderate,Mild,Moderate,Moderate
351,Léon,1994,8.5,1085586,Action.Crime.Drama,110,Film,R,1,Mild,Severe,Moderate,Moderate,Moderate
352,The Manor,2021,5.3,1677,Horror,81,Film,Not Rated,1,None,None,Mild,None,Mild
353,Bosch,2021,8.4,58565,Crime.Drama,51,Series,TV-MA,68,Moderate,Moderate,Moderate,Moderate,Moderate
354,South of Heaven,2021,5.7,376,Action.Crime.Drama,120,Film,NULL,1,No Rate,No Rate,No Rate,No Rate,No Rate
355,Encanto,2021,NULL,NULL,Animation.Adventure.Comedy,NULL,Film,PG,1,No Rate,No Rate,No Rate,No Rate,No Rate
356,Don't Look Up,2021,NULL,NULL,Comedy.Drama.Sci-Fi,145,Film,R,1,No Rate,No Rate,No Rate,No Rate,No Rate
357,Legends of Tomorrow,2021,6.8,97989,Action.Adventure.Drama,42,Series,TV-14,104,Mild,Moderate,Mild,Mild,Mild
358,Bingo Hell,2021,4.3,1139,Comedy.Fantasy.Horror,85,Film,Not Rated,1,None,Moderate,Moderate,Mild,Mild
359,Django Unchained,2012,8.4,1432853,Drama.Western,165,Film,R,1,Moderate,Severe,Severe,Mild,Severe
360,Zhang jin hu,2021,5.2,646,Action.Drama.War,176,Film,NULL,1,No Rate,No Rate,No Rate,No Rate,No Rate
361,Friday the 13th,1980,6.4,129391,Horror.Mystery.Thriller,95,Film,R,1,Moderate,Severe,Mild,Mild,Severe
362,Gone Girl,2014,8.1,912613,Drama.Mystery.Thriller,149,Film,R,1,Severe,Severe,Severe,Mild,Severe
363,Bob's Burgers,2014,8.1,71250,Animation.Comedy,22,Series,TV-PG,222,Mild,Mild,Mild,Mild,None
364,Truth Be Told,2014,7.1,9465,Crime.Drama.Mystery,45,Series,TV-MA,18,Mild,No Rate,Moderate,No Rate,No Rate
365,Virgin River,2014,7.4,30823,Drama.Romance,44,Series,TV-14,32,Mild,Mild,Mild,Mild,Mild
366,If I Can't Have Love.I Want Power,2021,7,1061,Drama.Fantasy.Horror,53,Film,R,1,Severe,Moderate,Mild,Mild,Mild
367,SEAL Team,2021,7.6,19476,Action.Drama.War,43,Series,TV-14,94,None,Moderate,Moderate,Mild,Moderate
368,Poltergeist,1982,7.3,152037,Horror.Thriller,114,Film,PG,1,Mild,Moderate,Mild,Moderate,Severe
